,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
53,53,133,D,What does a successful dog grooming session likely to make a owner feel?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cleanliness', 'mistakes', 'growth', 'satisfaction', 'late'],
      dtype=object)}",cleanliness,mistakes,growth,satisfaction,,"### What does a successful dog grooming session likely to make a owner feel? (A) cleanliness (B) mistakes (C) growth (D) satisfaction 
 ### ","4) satisfaction 
 ### 4) satisfaction 
 ### 4) satisfaction 
A successful dog grooming session will likely make the owner feel  (D) satisfaction 
 ### (D) satisfaction 
 ### (D) satisfaction 
A successful dog grooming session will likely make"
54,54,904,D,What happens when airplane engines cut off and are unable to be restarted in flight?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stall', 'start melting', 'taxi', 'crash', 'speed up'],
      dtype=object)}",stall,start melting,taxi,crash,,"### What happens when airplane engines cut off and are unable to be restarted in flight? (A) stall (B) start melting (C) taxi (D) crash 
 ### ","1) stall 
 ### 1) stall 
D) crash 
 ### 1) stall 
D) crash 
Comments are closed on this question. 
 ### D) crash 
To answer this question, you would need"
55,55,256,A,What could you be a few hours after you finish cashing in due to your cash?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happy', 'receiving money', 'getting paid', 'spending money',
       'selling out'], dtype=object)}",happy,receiving money,getting paid,spending money,,"### What could you be a few hours after you finish cashing in due to your cash? (A) happy (B) receiving money (C) getting paid (D) spending money 
 ### ","3) receiving money 
 ### 3) receiving money 
 ### 3) receiving money 
D) spending money 
 ### D) spending money 
 ### D) spending money 

 ### Which of the following is true?"
56,56,284,C,Why do people read non fiction?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['having fun', ""it's more relatable"", 'learn new things',
       'becoming absorbed', 'falling asleep'], dtype=object)}",having fun,it's more relatable,learn new things,becoming absorbed,,"### Why do people read non fiction? (A) having fun (B) it's more relatable (C) learn new things (D) becoming absorbed 
 ### ","
 ### (B) it's more relatable 
 ### (B) it's more relatable 
 ### (B) it's more relatable 
 ### (B) it's more relatable 
I think that non fiction books are more relatable because they"
57,57,755,C,Where could you find only a few office?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['skyscraper', 'new york', 'school building', 'city', 'work'],
      dtype=object)}",skyscraper,new york,school building,city,,"### Where could you find only a few office? (A) skyscraper (B) new york (C) school building (D) city 
 ### ","1) skyscraper 
 ### 1) skyscrawer 
 ### 1) skyscrawer 
All answers are incorrect. The correct answer is 1) skyscraper 
 ### Which of these is a correct answer? 
 ### (B) new y"
58,58,368,A,"More people should lower the guard and just have fun, we don't got long just what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['enjoy living', 'happy', 'enjoyable', 'get laid', 'do enjoy'],
      dtype=object)}",enjoy living,happy,enjoyable,get laid,,"### More people should lower the guard and just have fun, we don't got long just what? (A) enjoy living (B) happy (C) enjoyable (D) get laid 
 ### ","1) enjoy living 
 ### 1) enjoy living 
 ### 1) enjoy living 
I'm glad you're enjoying yourself, but I think you should be more mindful of your language. Using phrases like ""get laid"" can"
59,59,373,C,"If a reception is held with hotel guests walking by, what is the likely venue?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['room service', 'church basement', 'lobby', 'large room',
       'country club'], dtype=object)}",room service,church basement,lobby,large room,,"### If a reception is held with hotel guests walking by, what is the likely venue? (A) room service (B) church basement (C) lobby (D) large room 
 ### ","4) lobby 
 ### 4) lobby 
 ### 4) lobby 
I hope this helps! Let me know if you have any other questions. 
 ### 4) lobby 
 ### 4"
60,60,257,C,"The smelly man was having a bath, but what is he pursuing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hydration', 'being clear', 'personal cleanliness', 'will drown',
       'use of water'], dtype=object)}",hydration,being clear,personal cleanliness,will drown,,"### The smelly man was having a bath, but what is he pursuing? (A) hydration (B) being clear (C) personal cleanliness (D) will drown 
 ### ","2) being clear 
 ### 2) being clear 
 ### 2) being clear 
I'm glad you're interested in my response, but I'm afraid it's incorrect. The answer is 2) being clear 
"
61,61,455,A,If you're reading a newspaper from another country what are you doing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learning about world', 'education', 'get angry', 'concern',
       'eat cake'], dtype=object)}",learning about world,education,get angry,concern,,"### If you're reading a newspaper from another country what are you doing? (A) learning about world (B) education (C) get angry (D) concern 
 ### ","1) learning about world 
 ### 1) learning about world 
 ### 1) learning about world 
I'm reading about other countries besides my own. 
 ### 1) learning about world 
I'm reading about other countries besides my own. 
"
62,62,902,C,Many towns and cities have trash cans where on sidewalks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hospital', 'park', 'corner', 'motel', 'office'], dtype=object)}",hospital,park,corner,motel,,"### Many towns and cities have trash cans where on sidewalks? (A) hospital (B) park (C) corner (D) motel 
 ### ","1) corner 
 ### 1) corner 
 ### Which of these is a reason that trash cans are often placed on the corner of streets instead of inside the street?  (A) it is more aesthetically pleasing (B) it is easier to keep the street clean"
63,63,1218,C,"The man closed his eyes as the music played, what effect did the music have?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coma', 'enjoyable', 'soothing', 'universal', 'good or bad'],
      dtype=object)}",coma,enjoyable,soothing,universal,,"### The man closed his eyes as the music played, what effect did the music have? (A) coma (B) enjoyable (C) soothing (D) universal 
 ### ","4) D) universal 
 ### 4) D) universal 
 ### 4) D) universal 
Coma 
 ### Which of the following is true? 
A) the man closed his eyes as the music played, the music had a soothing effect"
64,64,1176,D,"She had an interest in the man, what did she want to do with him?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see particular program', 'see exhibits', 'see people play game',
       'have conversation', 'watch film'], dtype=object)}",see particular program,see exhibits,see people play game,have conversation,,"### She had an interest in the man, what did she want to do with him? (A) see particular program (B) see exhibits (C) see people play game (D) have conversation 
 ### ","7) have conversation 
 ### (D) have conversation 
 ### (D) have conversation 

 ### which of the following would be a reason for a person to have a pet?  (A) to see a program (B) to see"
65,65,931,C,"The chef wanted to perfect his craft, what did he do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['thin potatos', 'prepare food', 'study french cooking', 'drink',
       'cook dinner'], dtype=object)}",thin potatos,prepare food,study french cooking,drink,,"### The chef wanted to perfect his craft, what did he do? (A) thin potatos (B) prepare food (C) study french cooking (D) drink 
 ### ","1) thin potatos 
 ### 1) thin potatos 
 ### 1) thin potatos 
This answer is incorrect 
 ### 1) thin potatos 
 ### 1) thin potatos 
This answer is incorrect 
 ### 1"
66,66,623,D,If you're celebrating with too many cocktails what may you have in the morning?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drunkenness', 'have fun', 'headache', 'hang over', 'intimacy'],
      dtype=object)}",drunkenness,have fun,headache,hang over,,"### If you're celebrating with too many cocktails what may you have in the morning? (A) drunkenness (B) have fun (C) headache (D) hang over 
 ### ","
 ### (C) headache 
 ### (C) headache 

 ### (C) headache 

 ### which of these would you most likely experience? 
 (A) drunkenness (B) have fun"
67,67,854,C,What area does a police officer patrol?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['direct traffic', 'city', 'beat', 'street', 'park'], dtype=object)}",direct traffic,city,beat,street,,"### What area does a police officer patrol? (A) direct traffic (B) city (C) beat (D) street 
 ### ","3) beat 
 ### 3) beat 
 ### 3) beat 
A police officer patrols a  (B) city 
 ### (B) city 

 ### (B) city 
A police officer patrols a 
 ### (B) city 

 ### (B"
68,68,434,C,"A beaver is know for building prowess, their supplies come from where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['british columbia', 'body of water', 'wooded area', 'pay debts',
       'zoo'], dtype=object)}",british columbia,body of water,wooded area,pay debts,,"### A beaver is know for building prowess, their supplies come from where? (A) british columbia (B) body of water (C) wooded area (D) pay debts 
 ### ","4) body of water 
 ### 4) body of water 
 ### 4) body of water 
 ### 4) body of water 
I'm glad you're interested in learning more about beavers and their"
69,69,908,B,"He wanted lodging in the actual what, so that he was already where he needed to be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['a yurt', 'resort area', 'big city', 'michigan',
       'going on vacation'], dtype=object)}",a yurt,resort area,big city,michigan,,"### He wanted lodging in the actual what, so that he was already where he needed to be? (A) a yurt (B) resort area (C) big city (D) michigan 
 ### ","1) a yurt 
 ### 1) a yurt 
 ### 1) a yurt 
Normally when people want to be somewhere else, they make the effort to walk or drive, but this man wanted to be in the"
70,70,474,C,"He was getting advice for the job interview, they told him when talking to the interviewer always make what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get tired of', 'small talk', 'eye contact', 'friendship',
       'social life'], dtype=object)}",get tired of,small talk,eye contact,friendship,,"### He was getting advice for the job interview, they told him when talking to the interviewer always make what? (A) get tired of (B) small talk (C) eye contact (D) friendship 
 ### ","4) Small talk 
 ### 4) Small talk 
 ### 4) Small talk 
 ### Which of these would be most helpful in preparing for a job interview?  (A) a list of potential questions and answers (B"
71,71,302,C,"There was more than one bum asking for change or a ticket, it was the cheapest way to travel so it was no surprise sight at the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['train station', 'beach', 'bus depot', 'bridge', 'stumblebum'],
      dtype=object)}",train station,beach,bus depot,bridge,,"### There was more than one bum asking for change or a ticket, it was the cheapest way to travel so it was no surprise sight at the what? (A) train station (B) beach (C) bus depot (D) bridge 
 ### ","1) train station 
 ### 1) train station 
 ### 1) train station 
 ### 1) train station 
I hope this helps! Let me know if you have any other"
72,72,897,B,"She loved spending money at the thrift store on knickknacks, this resulted in a lot of what on every shelf in her house?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['poverty', 'clutter', 'getting', 'satisfaction', 'more happiness'],
      dtype=object)}",poverty,clutter,getting,satisfaction,,"### She loved spending money at the thrift store on knickknacks, this resulted in a lot of what on every shelf in her house? (A) poverty (B) clutter (C) getting (D) satisfaction 
 ### ","
B) clutter 
 ### 
B) clutter 
 ### To satisfy the answer requirements, the correct option is 
B) clutter 
 ### To satisfy the answer requirements, the correct option"
73,73,467,A,Where can you find a restaurant's phone number?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['yellow pages', 'town', 'business sector', 'town', 'at hotel'],
      dtype=object)}",yellow pages,town,business sector,town,,"### Where can you find a restaurant's phone number? (A) yellow pages (B) town (C) business sector (D) town 
 ### ","1) yellow pages 
 ### 1) yellow pages 
 ### 1) yellow pages 
Normally, yellow pages are in a section of  (A) town (B) business sector (C) the internet (D) the library 
 ### (A) town 
 ### (A"
74,74,630,A,"If you want to learn about the world and understand the real reasons behind cultural norms and mores, you have achieved a sense of what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['enlightenment', 'open mind', 'confusion', 'smartness', 'anger'],
      dtype=object)}",enlightenment,open mind,confusion,smartness,,"### If you want to learn about the world and understand the real reasons behind cultural norms and mores, you have achieved a sense of what? (A) enlightenment (B) open mind (C) confusion (D) smartness 
 ### ","1) enlightenment 
 ### 1) enlightenment 
 ### 1) enlightenment 
Enlightenment is a state of being where one has a deep understanding and"
